,company,rating_overall,rating_worklife,rating_compensation,rating_jobsec,rating_management,rating_jobculture,location,datereview,position,status,text,pros,cons,status_recoded,status_numeric,rating_overall_numeric,worklife_numeric,compensation_numeric,jobsec_numeric,management_numeric,jobculture_numeric,rating_worklife1,rating_compensation1,rating_jobsec1,rating_management1,rating_jobculture1
0,Leidos,4.0,80.0,60.0,40.0,40.0,80.0,"Aberdeen Proving Ground, MD","October 4, 2018",Lead Cyber Security Analyst,(Former Employee),Leadership only cares about the current contract and not where employees will be in 5 or 10 years.  They say they want to build a team and teach new skills when they hire you but it never happens.,Good pay and benefits,Only as good as you have a contract to work under.,0,0,4.0,80.0,60.0,40.0,40.0,80.0,80.0,60.0,40.0,40.0,80.0
1,Leidos,5.0,100.0,100.0,100.0,100.0,100.0,"Reston, VA","January 21, 2019",Senior Cyber Security Engineer,(Current Employee),I enjoy working at Leidos.  The benefits are good and the opportunity for personal growth is excellent.  Leidos has a great culture which allows each employee to pursue their goals.,NaN,NaN,1,1,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,Leidos,5.0,100.0,100.0,100.0,100.0,100.0,"Chambersburg, PA","November 6, 2018",Cyber Security Training Logistics Analyst,(Current Employee),"Leidos is a great company to be a contractor for.  Great hours, telework opportunities and no micromanagmenet.  They do give you an opportunity to take classes if you want to learn something related to your job position.  The culture is very laid back.",Telework,Not off on on all federal holidays,1,1,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3,Leidos,5.0,100.0,80.0,80.0,80.0,80.0,"Arlington, VA","October 14, 2015",Cyber Security Analyst,(Current Employee),"Regardless of your experience level, if you contribute high quality work, you are self motivated, and you seek additional responsibility, you will be valued and supported.",NaN,NaN,1,1,5.0,100.0,80.0,80.0,80.0,80.0,100.0,80.0,80.0,80.0,80.0
4,Leidos,4.0,80.0,80.0,80.0,80.0,80.0,"San Diego, CA","May 9, 2015",Cyber Security Event Analyst,(Current Employee),Leidos is a good company to work for. There is possibility to advance but the pay for lower ranked jobs can be lower than the average.,NaN,NaN,1,1,4.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
0,SAIC,4.0,80.0,80.0,40.0,60.0,80.0,"McLean, VA","August 14, 2014",Principal Cyber Security Engineer,(Current Employee),The company split into SAIC and Leidos.  Each taking some employees and locations.  It was very good to work at SAIC/Leidos,Like to travel and many contracts allowed for this,Short term contracts,1,1,4.0,80.0,80.0,40.0,60.0,80.0,80.0,80.0,40.0,60.0,80.0
1,SAIC,3.0,60.0,60.0,60.0,40.0,60.0,"Tampa, FL","November 6, 2018",Senior Cyber Security Analyst,(Former Employee),"*Since becoming an employee, most of my newly acquired knowledge pertains to the particular environment and culture of the workplace.",Great working environment,Lack of management,0,0,3.0,60.0,60.0,60.0,40.0,60.0,60.0,60.0,60.0,40.0,60.0
2,SAIC,3.0,60.0,60.0,40.0,60.0,60.0,"Reston, VA","November 5, 2018",Cyber Security Intern,(Former Employee),"As an intern, it took SAIC about 3 to 5 weeks to actually give me work to do. I am still grateful to be hired and all, but I wish I could have done more in the company to be able to put that on my resume. After I complained to HR about not getting work, they finally switched me over to a different manager where I did some work for 4 weeks",NaN,NaN,0,0,3.0,60.0,60.0,40.0,60.0,60.0,60.0,60.0,40.0,60.0,60.0
3,SAIC,5.0,100.0,100.0,100.0,80.0,100.0,"Huntsville, AL","September 21, 2017",Cyber Security Analyst,(Current Employee),"Excellent company to work for. I literally have nothing bad to say about SAIC. It&#39;s the type of job you hold for your whole life. Good benefits, good work, and good management.","Food, lots of food....",Typical government stuff.,1,1,5.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,80.0,100.0
4,SAIC,4.0,80.0,60.0,60.0,80.0,80.0,"Sandia National Laboratories, Kirtland AFB NM","July 12, 2013",Cyber Security Rep/ISSO,(Former Employee),"SAIC is a good company to work for but not great if you are outside the McLean or State of Virginia area.  Working in New Mexico for SAIC left you feeling more like the red headed stepchild.  No events were ever planned for us out there while the McLean office would get all of the employee appreciation events etc.  Work was ok, being subcontracted to the DOE but not able to take advantage of any DOE privileges reserved for the actual employees.  Benefits were okay, although things were better before the change this year to HSA.",None,"no team activiities, no Christmas celebrations, etc",0,0,4.0,80.0,60.0,60.0,80.0,80.0,80.0,60.0,60.0,80.0,80.0
5,SAIC,5.0,100.0,80.0,100.0,100.0,100.0,"Aberdeen Proving Ground, MD","February 16, 2018",Cyber Security Analyst,(Former Employee),"SAIC is a great place to work, for a large company is feels like a family environment. Great coworkers who work hard and are experts in their field. Great local leadership who will help you anyway they can.",Great Leadership,NaN,0,0,5.0,100.0,80.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0
6,SAIC,4.0,80.0,60.0,60.0,80.0,80.0,"Stennis Space Center, MS","February 21, 2018",Cyber Security Analyst,(Current Employee),So far they have been every patient with me as a military retiree transitioning into the civilian workforce.  My co workers and management are great and are flexible with work hours and teleworking schedule.,Great coworkers and manager,"Not sure yet, I have not been working here long enough",1,1,4.0,80.0,60.0,60.0,80.0,80.0,80.0,60.0,60.0,80.0,80.0
7,SAIC,5.0,100.0,40.0,40.0,60.0,80.0,"San Diego, CA","January 22, 2017",Cyber Security Analyst,(Former Employee),Given a second chance; onboarding was seamless; people cared about you.  There&#39;s a timeline on onboarding process to ensure that everything goes smoothly.,managers very understanding,benefits,0,0,5.0,100.0,40.0,40.0,60.0,80.0,100.0,40.0,40.0,60.0,80.0
